trial,embedding_dim,hidden_size,num_layers,dropout,seq_len,batch_size,lr,weight_decay,grad_clip,label_smoothing,tie_weights,scheduler,val_best_MRR,loss,ppl,Top@1,Top@3,Top@5,MRR,n_test,ckpt
17,192,320,2,0.3,16,64,0.0013711030226214714,0.0005,1.0,0.03,True,cosine,0.608370156008918,2.2487623936179775,9.476001016978005,0.4535900104120296,0.695629552537023,0.7750260146053723,0.5975637307772403,9610,/content/models_rs/rs_trial_17.pt
12,192,320,2,0.2,16,128,0.002394712684403,0.0,1.0,0.05,True,cosine,0.6050053437550863,2.3340865592182487,10.320028887421497,0.45098855360241513,0.6955254943016045,0.7779396462142778,0.5961717520246397,9610,/content/models_rs/rs_trial_12.pt
10,128,256,2,0.3,16,64,0.003951781173884884,0.0001,1.0,0.05,True,cosine,0.6041403025120228,2.3228621884265626,10.204840723284304,0.44973985433082303,0.6968782518086151,0.7791883454858699,0.5954785024152214,9610,/content/models_rs/rs_trial_10.pt
18,128,320,1,0.2,16,64,0.0019382514554016706,0.0,0.5,0.03,True,cosine,0.6041353848603395,2.271195959722338,9.690983912661897,0.44994797086368366,0.6927159209405223,0.777211238305849,0.5951590583922339,9610,/content/models_rs/rs_trial_18.pt
5,160,256,2,0.3,16,64,0.0018893923369180784,0.0005,0.5,0.05,True,cosine,0.6069087075757551,2.3290960027077445,10.268654500086395,0.4474505723329042,0.6958376690822883,0.7766909469674951,0.5939738933427277,9610,/content/models_rs/rs_trial_5.pt
13,160,256,2,0.2,16,64,0.004495582084837762,0.0005,1.0,0.05,True,cosine,0.6041117369591653,2.351195869088545,10.49811659414853,0.4506763787845171,0.6886576482954432,0.7706555671548,0.5937805605852641,9610,/content/models_rs/rs_trial_13.pt
9,160,256,1,0.3,16,128,0.0008158241335586644,0.0001,1.0,0.05,True,cosine,0.6034409571338344,2.3267499180911857,10.244591605561396,0.4444328824203543,0.697918834572156,0.7784599376022505,0.5930880993635672,9610,/content/models_rs/rs_trial_9.pt
2,128,256,1,0.2,16,128,0.0016007565680120513,0.0,0.5,0.05,True,cosine,0.6021103934124783,2.347061515077716,10.454803261721977,0.4474505723267018,0.6919875130320935,0.7725286160373787,0.5928159490584335,9610,/content/models_rs/rs_trial_2.pt
16,192,256,1,0.3,16,128,0.004424036323090671,0.0,1.0,0.03,True,cosine,0.6015904390060149,2.268224345682563,9.662228794524328,0.44360041623929286,0.690530697178022,0.7746097815148416,0.5910120309949789,9610,/content/models_rs/rs_trial_16.pt
3,192,320,1,0.2,16,64,0.0024952231976338324,0.0001,1.0,0.05,True,cosine,0.5952114642203391,2.3703647097985527,10.701294439429917,0.44380853278455823,0.6880332986596471,0.7723204995169227,0.590706594938046,9610,/content/models_rs/rs_trial_3.pt
4,128,256,2,0.2,24,64,0.0011427451449300696,0.0001,1.0,0.03,True,cosine,0.6038465019926843,2.2962977275930463,9.937323587216051,0.4442560960135383,0.6899204590606913,0.771938974970182,0.5901506488832132,7669,/content/models_rs/rs_trial_4.pt
6,128,256,1,0.3,24,64,0.0009482953204352053,0.0005,1.0,0.05,True,cosine,0.6021916548140275,2.353569075000816,10.523060373172235,0.44164819397349947,0.6896596688664026,0.7750684575114944,0.5896066095515325,7669,/content/models_rs/rs_trial_6.pt
15,128,320,2,0.2,24,64,0.0005713407109004834,0.0005,0.5,0.03,True,cosine,0.6015885525437528,2.2719810320510594,9.698595023215036,0.44203937926493253,0.6909636198378462,0.7710262095000197,0.5895559838735571,7669,/content/models_rs/rs_trial_15.pt
1,192,256,1,0.3,24,64,0.0008787429588337066,0.0,0.5,0.03,True,cosine,0.6012375559541463,2.278455891281518,9.761595801205504,0.4408658234877853,0.6903116444531624,0.777937149438822,0.5891132819511105,7669,/content/models_rs/rs_trial_1.pt
7,128,384,2,0.2,24,64,0.0020328297598925242,0.0,0.5,0.05,True,cosine,0.6055723555314142,2.383026125036546,10.837649373532038,0.4417785892727198,0.689007693590529,0.7711566044883539,0.5882670255804143,7669,/content/models_rs/rs_trial_7.pt
20,160,320,1,0.2,24,128,0.0006250299360799462,0.0001,1.0,0.05,True,cosine,0.6025116826782573,2.364856479531364,10.642511289689116,0.4411266141756057,0.6865301868069636,0.7732429263069167,0.5878292596282666,7669,/content/models_rs/rs_trial_20.pt
19,128,320,1,0.2,24,64,0.0009493957173113636,0.0001,0.5,0.03,True,cosine,0.604008326707815,2.2846465103939315,9.822213559876186,0.44047463809920034,0.6853566305596012,0.7718085801839237,0.5875742067987907,7669,/content/models_rs/rs_trial_19.pt
8,160,384,1,0.3,24,64,0.003481945141955723,0.0,0.5,0.05,True,cosine,0.6015759882501822,2.3788831048379246,10.79284165700149,0.4402138480020636,0.6850958402565024,0.7708958141930272,0.5873623085326641,7669,/content/models_rs/rs_trial_8.pt
11,128,256,1,0.2,24,64,0.0021203914581812977,0.0005,1.0,0.05,True,cosine,0.60062914081489,2.3811117545739817,10.816921944007325,0.4374755509620323,0.6892684835749696,0.7718085801839237,0.5869058824794857,7669,/content/models_rs/rs_trial_11.pt
14,192,384,1,0.2,24,128,0.0011827252180412623,0.0,0.5,0.03,True,cosine,0.6019904056372526,2.2973650640887344,9.94793571769978,0.43630199514213824,0.6845742603497984,0.7690702831982975,0.5850418557211696,7669,/content/models_rs/rs_trial_14.pt
